332.3	1.557
332.4	1.5301
332.5	1.5374
332.6	1.5469
332.7	1.5161
332.8	1.5219
332.9	1.5406
333	1.5196
333.1	1.5187
333.2	1.5372
333.3	1.5163
333.4	1.5309
333.5	1.5277
333.6	1.5246
333.7	1.5505
333.8	1.5581
333.9	1.5584
334	1.5743
334.1	1.5766
334.2	1.574
334.3	1.5399
334.4	1.537
334.5	1.549
334.6	1.4944
334.7	1.5047
334.8	1.4829
334.9	1.4523
335	1.4623
335.1	1.4499
335.2	1.451
335.3	1.4352
335.4	1.4219
335.5	1.4375
335.6	1.426
335.7	1.4196
335.8	1.4324
335.9	1.4189
336	1.4366
336.1	1.4395
336.2	1.429
336.3	1.4215
336.4	1.4293
336.5	1.4094
336.6	1.4323
336.7	1.4186
336.8	1.4048
336.9	1.4073
337	1.391
337.1	1.3934
337.2	1.3808
337.3	1.371
337.4	1.3755
337.5	1.3648
337.6	1.3557
337.7	1.356
337.8	1.3535
337.9	1.341
338	1.3443
338.1	1.334
338.2	1.3312
338.3	1.3285
338.4	1.3185
338.5	1.3276
338.6	1.3159
338.7	1.301
338.8	1.3093
338.9	1.3047
339	1.2914
339.1	1.3056
339.2	1.2985
339.3	1.2981
339.4	1.2916
339.5	1.2984
339.6	1.291
339.7	1.285
339.8	1.2914
339.9	1.2869
340	1.2829
340.1	1.2915
340.2	1.2983
340.3	1.3016
340.4	1.3067
340.5	1.3222
340.6	1.3079
340.7	1.3082
340.8	1.3117
340.9	1.3012
341	1.3021
341.1	1.2868
341.2	1.2872
341.3	1.2872
341.4	1.2733
341.5	1.2564
341.6	1.2681
341.7	1.2636
341.8	1.2466
341.9	1.2531
342	1.2521
342.1	1.2456
342.2	1.232
342.3	1.2277
342.4	1.2285
342.5	1.2237
342.6	1.2287
342.7	1.2127
342.8	1.2133
342.9	1.2104
343	1.2093
343.1	1.2071
343.2	1.2028
343.3	1.2026
343.4	1.2077
343.5	1.1993
343.6	1.1952
343.7	1.1961
343.8	1.1857
343.9	1.1958
344	1.1891
344.1	1.182
344.2	1.1815
344.3	1.1881
344.4	1.1826
344.5	1.1723
344.6	1.1776
344.7	1.1819
344.8	1.177
344.9	1.177
345	1.1801
345.1	1.182
345.2	1.1822
345.3	1.1773
345.4	1.1779
345.5	1.192
345.6	1.1828
345.7	1.1806
345.8	1.1879
345.9	1.1845
346	1.1875
346.1	1.1922
346.2	1.1962
346.3	1.1949
346.4	1.2052
346.5	1.2128
346.6	1.2196
346.7	1.2317
346.8	1.2447
346.9	1.2483
347	1.2721
347.1	1.283
347.2	1.3075
347.3	1.3158
347.4	1.3207
347.5	1.3298
347.6	1.3375
347.7	1.3274
347.8	1.3389
347.9	1.3401
348	1.3355
348.1	1.3354
348.2	1.3311
348.3	1.3191
348.4	1.3125
348.5	1.2991
348.6	1.2889
348.7	1.2787
348.8	1.2656
348.9	1.2586
349	1.2402
349.1	1.2356
349.2	1.2207
349.3	1.2076
349.4	1.1951
349.5	1.1823
349.6	1.1734
349.7	1.1691
349.8	1.1633
349.9	1.1521
350	1.156
350.1	1.1534
350.2	1.1454
350.3	1.141
350.4	1.1432
350.5	1.1428
350.6	1.1361
350.7	1.1259
350.8	1.125
350.9	1.118
351	1.109
351.1	1.1111
351.2	1.1069
351.3	1.1004
351.4	1.0995
351.5	1.1007
351.6	1.1015
351.7	1.1068
351.8	1.1062
351.9	1.1113
352	1.1088
352.1	1.1151
352.2	1.1215
352.3	1.1292
352.4	1.1383
352.5	1.1535
352.6	1.1636
352.7	1.1821
352.8	1.1928
352.9	1.207
353	1.2145
353.1	1.2213
353.2	1.218
353.3	1.2179
353.4	1.2148
353.5	1.2141
353.6	1.2143
353.7	1.2175
353.8	1.2326
353.9	1.2637
354	1.3234
354.1	1.4088
354.2	1.5361
354.3	1.6971
354.4	1.879
354.5	2.0655
354.6	2.2169
354.7	2.2849
354.8	2.2793
354.9	2.2158
355	2.099
355.1	1.9644
355.2	1.8419
355.3	1.7404
355.4	1.6609
355.5	1.6162
355.6	1.5975
355.7	1.5929
355.8	1.6015
355.9	1.6234
356	1.6456
356.1	1.671
356.2	1.6947
356.3	1.7263
356.4	1.7538
356.5	1.7975
356.6	1.854
356.7	1.9385
356.8	2.0549
356.9	2.218
357	2.4257
357.1	2.6783
357.2	2.9528
357.3	3.2418
357.4	3.5029
357.5	3.7035
357.6	3.8023
357.7	3.7653
357.8	3.6055
357.9	3.3393
358	3.0303
358.1	2.7331
358.2	2.4685
358.3	2.2487
358.4	2.0783
358.5	1.9556
358.6	1.8614
358.7	1.7998
358.8	1.7604
358.9	1.7391
359	1.7231
359.1	1.7194
359.2	1.7214
359.3	1.7289
359.4	1.7479
359.5	1.7815
359.6	1.8281
359.7	1.9001
359.8	1.9918
359.9	2.1059
360	2.2388
360.1	2.3843
360.2	2.5182
360.3	2.6244
360.4	2.6715
360.5	2.6388
360.6	2.5332
360.7	2.3636
360.8	2.1686
360.9	1.9839
361	1.8277
361.1	1.7127
361.2	1.6326
361.3	1.5828
361.4	1.552
361.5	1.5328
361.6	1.5163
361.7	1.4981
361.8	1.4815
361.9	1.4608
362	1.4425
362.1	1.4336
362.2	1.4284
362.3	1.4296
362.4	1.4364
362.5	1.4418
362.6	1.4444
362.7	1.4395
362.8	1.4295
362.9	1.4074
363	1.3809
363.1	1.3502
363.2	1.3268
363.3	1.3198
363.4	1.3427
363.5	1.4162
363.6	1.548
363.7	1.7117
363.8	1.8775
363.9	2.0245
364	2.0807
364.1	2.0248
364.2	1.8936
364.3	1.7412
364.4	1.5723
364.5	1.4346
364.6	1.3333
364.7	1.2655
364.8	1.2237
364.9	1.1988
365	1.1909
365.1	1.1931
365.2	1.2091
365.3	1.2326
365.4	1.273
365.5	1.334
365.6	1.4341
365.7	1.5955
365.8	1.8397
365.9	2.1666
366	2.5633
366.1	3.017
366.2	3.4022
366.3	3.5515
366.4	3.3742
366.5	3.0157
366.6	2.5792
366.7	2.1675
366.8	1.8191
366.9	1.5878
367	1.4457
367.1	1.3843
367.2	1.4131
367.3	1.5368
367.4	1.7245
367.5	1.901
367.6	2.0334
367.7	2.0775
367.8	1.9764
367.9	1.7544
368	1.5142
368.1	1.3015
368.2	1.1205
368.3	0.99023
368.4	0.91321
368.5	0.86765
368.6	0.84487
368.7	0.82822
368.8	0.81634
368.9	0.80539
369	0.79776
369.1	0.79229
369.2	0.78591
369.3	0.78398
369.4	0.78578
369.5	0.78765
369.6	0.78864
369.7	0.78971
369.8	0.78978
369.9	0.78342
